model,alpha,condition,coverage_target,baseline_accuracy,combined_accuracy,confidence_accuracy,combined_coverage,confidence_coverage,combined_gain_vs_baseline_pp,confidence_gain_vs_baseline_pp,lift_over_confidence_pp,source,source_path
llama3.1-8b,0.75,IC,0.75,0.33152173913043476,0.4041095890410959,0.3150684931506849,0.7934782608695652,0.7934782608695652,7.258784991066114,-1.6453245979749842,8.904109589041099,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p75.json
llama3.1-8b,0.75,IC,0.5,0.33152173913043476,0.48484848484848486,0.30303030303030304,0.5380434782608695,0.5380434782608695,15.332674571805011,-2.8491436100131717,18.181818181818183,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p75.json
llama3.1-8b,0.75,IC,0.25,0.33152173913043476,0.5306122448979592,0.30612244897959184,0.266304347826087,0.266304347826087,19.909050576752445,-2.539929015084291,22.44897959183674,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p75.json
llama3.1-8b,0.75,ICC,0.75,0.6032608695652174,0.6934306569343066,0.6496350364963503,0.7445652173913043,0.7445652173913043,9.016978736908921,4.637416693113295,4.379562043795627,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p75.json
llama3.1-8b,0.75,ICC,0.5,0.6032608695652174,0.7448979591836735,0.673469387755102,0.532608695652174,0.532608695652174,14.163708961845611,7.020851818988461,7.142857142857151,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p75.json
llama3.1-8b,0.75,ICC,0.25,0.6032608695652174,0.9090909090909091,0.7017543859649122,0.29891304347826086,0.30978260869565216,30.583003952569165,9.849351639969484,20.73365231259968,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p75.json
meditron3-8b,0.75,IC,0.75,0.3695652173913043,0.4383561643835616,0.3835616438356164,0.7934782608695652,0.7934782608695652,6.87909469922573,1.3996426444312093,5.47945205479452,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p75.json
meditron3-8b,0.75,IC,0.5,0.3695652173913043,0.4752475247524752,0.3627450980392157,0.5489130434782609,0.5543478260869565,10.56823073611709,-0.6820119352088649,11.250242671325955,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p75.json
meditron3-8b,0.75,IC,0.25,0.3695652173913043,0.5952380952380952,0.2619047619047619,0.22826086956521738,0.22826086956521738,22.567287784679092,-10.76604554865424,33.33333333333333,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p75.json
meditron3-8b,0.75,ICC,0.75,0.6902173913043478,0.762589928057554,0.75177304964539,0.7554347826086957,0.7663043478260869,7.237253675320621,6.155565834104227,1.0816878412163944,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p75.json
meditron3-8b,0.75,ICC,0.5,0.6902173913043478,0.8829787234042553,0.7755102040816326,0.5108695652173914,0.532608695652174,19.276133209990753,8.529281277728485,10.746851932262269,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p75.json
meditron3-8b,0.75,ICC,0.25,0.6902173913043478,0.9333333333333333,0.8043478260869565,0.24456521739130435,0.25,24.311594202898558,11.413043478260876,12.89855072463768,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p75.json
phi4-14b,0.75,IC,0.75,0.44565217391304346,0.48148148148148145,0.4485294117647059,0.7336956521739131,0.7391304347826086,3.5829307568437994,0.287723785166244,3.2952069716775556,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p75.json
phi4-14b,0.75,IC,0.5,0.44565217391304346,0.625,0.4125,0.43478260869565216,0.43478260869565216,17.934782608695656,-3.315217391304348,21.250000000000004,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p75.json
